Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
13000,-0.68183905,2.1950846,0.4865999112953432,6700.0,0.4865999072790146
19500,-0.68028545,2.1950831,0.5031999133207137,6848.0,0.5031998753547668
26000,-0.679218,2.1950781,0.4712332459312165,7031.0,0.47123317420482635
32500,-0.68270606,2.1950881,0.5140332470909925,6631.0,0.5140331983566284
39000,-0.6790301,2.1950772,0.5113332459150115,7082.0,0.511333242058754
45500,-0.6825108,2.195089,0.5326999147800962,6630.0,0.532699853181839
52000,-0.67822194,2.1950767,0.4628999119158834,7192.0,0.46289995312690735
58500,-0.6810381,2.1950865,0.5041999130917247,6733.0,0.5041998624801636
65000,-0.68018514,2.1950822,0.48083324590697885,6863.0,0.4808332324028015
71500,-0.6918651,2.1951997,0.5357999151019612,6595.0,0.5357999056577682
78000,-0.67708224,2.1950657,0.41143324406584725,7480.0,0.4114331901073456
84500,-0.6793863,2.1950817,0.46539991423196625,6933.0,0.465399906039238
91000,-0.67700475,2.1950696,0.401933246437693,7414.0,0.4019331932067871
97500,-0.6800294,2.1950824,0.48869991362153087,6862.0,0.48869991302490234
104000,-0.6667949,2.1949644,0.45173324563074857,7200.0,None
110500,-0.6830803,2.1950908,None,None,0.45173317193984985
117000,-0.678575,2.195077,0.4643999122054083,7112.0,0.46439990401268005
123500,-0.67870694,2.1950762,0.4149999121145811,7098.0,0.4149998724460602
130000,-0.67882127,2.1950738,0.5120665795111563,7098.0,0.512066587805748
136500,-0.68041295,2.1950824,0.49626658142369706,6849.0,0.49626654386520386
143000,-0.6805648,2.1950846,0.4977332463604398,6807.0,0.4977332055568695
149500,-0.68291545,2.1951513,0.44419991015456617,7297.0,0.4441998302936554
156000,-0.6780889,2.1950743,0.4173332467180444,7235.0,0.4173332750797272
162500,-0.6778519,2.195074,0.4337332473223796,7183.0,0.433733195066452
169000,-0.68197775,2.1950843,0.3894332499039592,6723.0,0.38943323493003845
175500,-0.6795761,2.195076,0.4415665797132533,7064.0,0.44156651198863983
182000,-0.68097526,2.1950858,0.5334332482307218,6748.0,0.5334332585334778
188500,-0.6665883,2.1949642,0.4959332463622559,7115.0,None
195000,-0.6835288,2.1950934,None,None,0.4959332346916199
