Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate
10000,1.38279,1.558200009750888,1149.111111111111,-0.9285222,1.5028000175952911,0.018493915,0.11661756,9.992923e-06
20000,1.3703952,2.003090929148708,935.9090909090909,-0.7246403,2.003090901808305,0.014548475,0.11174953,9.984206e-06
30000,1.3556527,2.0014000331575517,1041.0,-0.42041278,2.001400020387438,0.015533338,0.116904564,9.974412e-06
40000,1.3448466,1.6011200265260412,1024.8,-0.18052593,1.6011200189590453,0.010694564,0.11691687,9.965475e-06
50000,1.3529122,1.6024600120872492,983.0,-0.047130603,1.60246000289917,0.005155296,0.117172614,9.955709e-06
60000,1.3616843,1.8012600298417965,1041.0,0.15927805,1.8012600660324096,0.0061713224,0.11235567,9.946247e-06
70000,1.3598752,1.3354000141068052,1092.2222222222222,0.2913727,1.3353999720679388,0.004802692,0.09716597,9.9346535e-06
80000,1.3560956,1.2515000116818555,1213.625,0.57071394,1.501674988976447,0.011436505,0.118138246,9.925165e-06
90000,1.3541386,1.6031199976161588,1043.1,0.66410816,1.4029800176620484,0.0066222646,0.09791336,9.915148e-06
100000,1.3523178,2.00370001513996,808.0833333333334,1.0274466,2.003700017929077,0.010347312,0.10667564,9.90385e-06
110000,1.3525844,2.0014000331575517,707.0714285714286,1.09224,2.0013999938964844,0.012645896,0.118971914,9.894715e-06
120000,1.3644305,1.5049333557096058,912.5,1.296992,1.5049333721399307,0.021045696,0.113743946,9.885743e-06
130000,1.3531207,2.00210002714933,770.5833333333334,1.3429289,2.001400053501129,0.020043287,0.10113421,9.876309e-06
140000,1.3586502,1.6198153920670917,765.8461538461538,1.1058955,1.6204615189478948,0.0132050365,0.11604071,9.865314e-06
150000,1.3481786,1.804506674943453,645.2666666666667,1.174276,1.8045066793759663,0.011358912,0.108140826,9.854236e-06
160000,1.3446891,1.772707716446558,792.4615384615385,1.0874721,1.7727076823894794,0.008786368,0.10471151,9.845856e-06
170000,1.3354735,2.0020857371159115,738.3571428571429,1.0792049,2.0017857381275723,0.004258231,0.11540391,9.8353485e-06
180000,1.3427191,2.0029833484356154,811.25,1.0588573,2.0032499631245932,0.0034208237,0.11007414,9.823976e-06
190000,1.3365993,2.0022769451215234,740.7692307692307,1.1038383,2.002353851611798,0.0039612288,0.11208086,9.814736e-06
200000,1.3518842,1.80380002274566,662.0,1.1794893,1.8038000265757244,0.0072679804,0.10375538,9.805051e-06
210000,1.345047,1.8284235321214724,592.1176470588235,1.2880958,1.8284235070733463,0.00639641,0.10087312,9.796158e-06
