Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
302500,6217.1113,1.3174417e-05,None,None,None
305000,6224.0576,1.3174416e-05,-1.0,2074.5,-1.0
307500,6224.75,1.31744155e-05,-1.0,2106.5,-1.0
310000,6225.9014,1.3174417e-05,None,None,None
312500,6221.1416,1.3174417e-05,-1.0,2085.0,-1.0
315000,6222.3545,1.3174417e-05,-1.0,2101.3333333333335,-1.0
317500,6216.49,1.3174415e-05,None,None,None
320000,6229.434,1.3174419e-05,None,None,None
322500,6221.037,1.31744155e-05,None,None,None
325000,6223.8926,1.31744155e-05,-1.0,2074.6666666666665,-1.0
327500,6220.962,1.31744155e-05,-1.0,2093.0,-1.0
330000,6227.5684,1.3174417e-05,-1.0,2091.0,-1.0
332500,6228.347,1.31744155e-05,-1.0,2078.0,-1.0
335000,6214.3833,1.3174416e-05,-1.0,2075.0,-1.0
337500,6221.909,1.3174416e-05,-1.0,2064.0,-1.0
340000,6225.7104,1.3174416e-05,-1.0,2054.5,-1.0
342500,6222.8,1.31744155e-05,-1.0,2078.0,-1.0
345000,6218.168,1.3174416e-05,None,None,None
347500,6221.009,1.3174416e-05,-1.0,2078.0,-1.0
350000,6224.534,1.3174416e-05,-1.0,2101.0,-1.0
352500,6228.049,1.3174416e-05,-1.0,2094.5,-1.0
355000,6218.2827,1.3174416e-05,-1.0,2093.0,-1.0
357500,6222.5864,1.3174416e-05,-1.0,2052.0,-1.0
360000,6213.3955,1.3174417e-05,None,None,None
362500,6231.724,1.3174416e-05,-1.0,2075.0,-1.0
365000,6221.2007,1.3174416e-05,-1.0,2096.5,-1.0
367500,6220.683,1.3174416e-05,-1.0,2095.0,-1.0
370000,6222.374,1.3174417e-05,None,None,None
372500,6227.1494,1.3174415e-05,None,None,None
375000,6228.2856,1.31744155e-05,-1.0,2073.0,-1.0
377500,6219.8804,1.3174416e-05,-1.0,2100.0,-1.0
380000,6229.501,1.31744155e-05,None,None,None
382500,6220.799,1.3174419e-05,None,None,None
385000,6224.4688,1.31744155e-05,-1.0,2093.0,-1.0
387500,6219.026,1.3174416e-05,-1.0,2099.5,-1.0
390000,6220.6895,1.3174416e-05,-1.0,2048.0,-1.0
392500,6225.191,1.3174416e-05,None,None,None
395000,6226.343,1.3174417e-05,-1.0,2095.0,-1.0
397500,6220.5503,1.3174416e-05,-1.0,2092.6666666666665,-1.0
400000,6221.503,1.3174416e-05,-1.0,2101.0,-1.0
402500,6230.793,1.31744155e-05,None,None,None
405000,6223.4746,1.31744155e-05,-1.0,2065.0,-1.0
407500,6221.8203,1.31744155e-05,None,None,-1.0
410000,6220.5586,1.3174417e-05,-1.0,2065.0,-1.0
412500,6225.9775,1.3174417e-05,None,None,None
415000,6217.6777,1.3174415e-05,None,None,None
417500,6225.2217,1.3174416e-05,-1.0,2073.75,-1.0
420000,6222.7656,1.3174416e-05,-1.0,2068.0,-1.0
422500,6233.0264,1.3174416e-05,-1.0,2053.5,-1.0
425000,6221.9497,1.3174416e-05,None,None,-1.0
427500,6216.1826,1.31744155e-05,None,None,None
430000,6220.4673,1.3174417e-05,-1.0,2066.6666666666665,-1.0
432500,6223.497,1.3174417e-05,None,None,None
