Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Environment/Cumulative Reward,Environment/Episode Length
1400,1.3853862,0.49499413,-0.013620666,0.0,1398.0
2800,1.3857226,0.48633635,-0.61711985,2.018400034008664,1334.0
4200,1.3852172,0.5838722,-0.65565753,0.0,1398.0
5600,1.3848425,0.66732264,-0.43160772,-0.49220000610512216,996.5
7000,1.3845389,0.7424835,-0.40442634,-0.9683999782428145,914.0
8400,1.3846022,0.66376126,-0.33299023,0.0,1398.0
9800,1.3831794,0.87027097,-0.089198805,0.031800001495867036,1398.0
11200,1.3823758,0.907564,0.108403526,2.0055999608302955,1089.0
12600,1.3829709,0.9588288,0.116061315,2.0014000331575517,1192.0
14000,1.381006,0.9585172,0.5386429,0.0,1398.0
15400,1.3802725,0.91410094,0.7189743,1.0087000169805833,1174.5
16800,1.3796903,0.9291985,1.1077063,0.0,1398.0
18200,1.3806736,0.9122562,1.3587077,0.0,1398.0
19600,1.379559,0.9315735,1.6126833,2.018400034037768,1266.0
21000,1.380621,0.91161525,1.5681832,0.0011999999696854502,1398.0
22400,1.3791014,0.89489627,1.3648252,0.0,1398.0
23800,1.380419,0.93774843,2.2828228,2.0043999607732985,1065.0
25200,1.3806785,0.84184235,2.0736363,2.0014000331575517,959.0
26600,1.3807386,0.9145102,2.2024536,0.0,1398.0
28000,1.3831342,0.8816974,2.366498,0.0,1398.0
29400,1.3829539,0.8167226,2.6483052,2.003399996989174,1174.5
30800,1.383187,0.819245,2.6418977,-0.9844000121956924,1145.0
32200,1.3847482,0.77885914,2.9096835,2.00990003359766,749.5
33600,1.384545,0.78648424,2.9565108,2.01639996135782,1114.0
35000,1.384516,0.69063777,2.958475,2.0014000331575517,946.0
36400,1.3808974,0.85451865,3.1701846,0.0,1398.0
37800,1.3808136,0.8143216,3.50353,0.5171000109112356,824.0
39200,1.3807645,0.83633655,3.704393,2.0143999613064807,1063.0
40600,1.377642,0.8386086,3.848908,2.004099997029698,1031.5
42000,1.3776546,0.7900919,4.0606203,2.0073999971937155,734.5
43400,1.3779173,0.8324934,4.0339417,0.5171000108966837,676.0
44800,1.3804681,0.8053107,4.05105,2.0014000331575517,1292.0
46200,1.3806198,0.63730013,4.241344,2.0014000331575517,717.0
47600,1.3805977,0.67417365,4.2015953,-0.483499989095435,1272.0
49000,1.3796797,0.6493813,4.2276335,0.0,1398.0
50400,1.3793374,0.6362215,4.2035656,2.017399961448973,816.0
51800,1.3793303,0.52461344,4.3350835,2.0073999971864396,939.5
53200,1.3804239,0.4034196,4.5298424,2.0143999612919288,863.0
54600,1.3801911,0.43028557,4.5151267,0.0,1398.0
56000,1.3805016,0.35873127,4.573714,2.0245999618055066,935.0
57400,1.3825206,0.23879097,4.7274833,2.0014000331575517,911.0
58800,1.382602,0.39529222,4.626976,1.0007000165787758,947.5
60200,1.3826623,0.3028248,4.7278385,2.018400034008664,1044.0
61600,1.3829589,0.25623143,4.774423,2.0014000331575517,677.0
63000,1.3835676,0.31806752,4.7749376,2.015399997595523,970.0
64400,1.3838977,0.34367207,4.7192097,0.0,1398.0
65800,1.3830965,0.2504727,4.910722,2.00689996091387,743.5
67200,1.382724,0.2684941,4.860072,2.0014000331575517,663.0
68600,1.3826989,0.28372017,4.8542514,2.005399960828072,1031.0
70000,1.3799127,0.27513206,4.888298,2.0153999613394262,1244.0
71400,1.3799145,0.21258293,4.999858,1.0007000165787758,1067.0
72800,1.3800561,0.2376608,4.9417906,0.0009999999747378752,1398.0
74200,1.3798761,0.29174381,4.8387947,2.0014000331575517,1173.0
75600,1.3797358,0.22342908,5.0834665,2.002999996970175,687.5
77000,1.3795545,0.17202245,5.068863,2.028799961990444,955.0
78400,1.3796906,0.13641207,5.073165,2.0053999971059966,958.0
79800,1.3787396,0.22747295,5.101352,2.0014000331575517,917.0
81200,1.378871,0.22055325,5.14645,2.015399961383082,1264.0
82600,1.3789061,0.22207448,5.034939,0.0,1398.0
84000,1.3800756,0.4092281,4.7576246,2.0108999973817845,717.5
85400,1.3801929,0.22060327,5.170765,2.0014000331575517,1085.0
86800,1.3801733,0.23905054,5.114278,2.0014000331575517,1034.0
88200,1.3805275,0.21696734,5.1814737,2.0014000331575517,1384.0
89600,1.3808368,0.31534642,5.0776534,2.0014000331575517,1193.0
91000,1.3735434,0.53685594,4.486511,0.0009999999747378752,1398.0
92400,1.3808526,0.2529335,5.1754217,2.0309999620949384,1051.0
93800,1.3812251,0.20296758,5.235078,2.0153999613248743,1166.0
95200,1.381078,0.23516507,5.1226315,2.0106999610943603,1062.0
96600,1.3810585,0.22585756,5.201409,0.0,1398.0
98000,1.3826556,0.30493036,5.066323,2.0014000331575517,750.5
