Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
272500,-8513.647,1.31744155e-05,None,None,None
275000,-8503.125,1.3174417e-05,None,None,None
277500,-8510.114,1.31744155e-05,-1.0,2859.3333333333335,-1.0
280000,-8506.529,1.31744155e-05,-1.0,3911.0,-1.0
282500,-8513.231,1.3174416e-05,None,None,-1.0
285000,-8512.27,1.3174416e-05,-1.0,2111.0,-1.0
287500,-8507.879,1.31744155e-05,-1.0,2335.0,-1.0
290000,-8507.678,1.3174417e-05,-1.0,2824.0,None
292500,-8507.448,1.3174416e-05,-1.0,2365.0,-1.0
295000,-8512.459,1.3174416e-05,-1.0,2341.5,-1.0
297500,-8516.641,1.3174416e-05,-1.0,2134.0,-1.0
300000,-8505.459,1.3174416e-05,-1.0,2142.0,-1.0
302500,-8510.292,1.3174416e-05,-1.0,2108.0,-1.0
305000,-8510.023,1.31744155e-05,None,None,None
307500,-8513.028,1.31744155e-05,-1.0,2391.5,-1.0
310000,-8517.781,1.3174416e-05,-1.0,2378.0,-1.0
312500,-8505.565,1.3174416e-05,-1.0,2134.0,-1.0
315000,-8511.146,1.31744155e-05,None,None,None
317500,-8516.199,1.3174416e-05,-1.0,2464.5,-1.0
320000,-8512.738,1.3174417e-05,-1.0,3065.0,-1.0
322500,-8506.257,1.3174416e-05,None,None,-1.0
325000,-8508.438,1.3174416e-05,-1.0,2148.0,-1.0
327500,-8511.615,1.31744155e-05,-1.0,2985.0,-1.0
330000,-8508.615,1.3174416e-05,-1.0,2528.0,-1.0
332500,-8510.88,1.31744155e-05,-1.0,2155.0,-1.0
335000,-8503.566,1.3174416e-05,-1.0,2142.0,-1.0
337500,-8515.197,1.3174417e-05,None,None,None
340000,-8511.1045,1.3174416e-05,-1.0,2427.5,-1.0
342500,-8509.534,1.31744155e-05,-1.0,2435.0,-1.0
345000,-8510.434,1.3174416e-05,None,None,None
347500,-8503.995,1.31744155e-05,-1.0,2388.0,-1.0
350000,-8513.928,1.3174416e-05,None,None,None
352500,-8515.803,1.3174416e-05,-1.0,2148.0,-1.0
355000,-8510.829,1.3174417e-05,None,None,None
357500,-8504.983,1.3174416e-05,-1.0,2795.6666666666665,-1.0
360000,-8511.525,1.3174416e-05,-1.0,2914.0,-1.0
362500,-8516.22,1.3174416e-05,-1.0,2128.0,-1.0
365000,-8504.9795,1.31744155e-05,None,None,None
367500,-8509.051,1.31744155e-05,-1.0,2484.0,-1.0
370000,-8513.381,1.3174416e-05,-1.0,2308.0,None
372500,-8506.583,1.31744155e-05,-1.0,2581.5,-1.0
375000,-8516.346,1.31744155e-05,-1.0,2428.0,-1.0
377500,-8503.971,1.3174416e-05,-1.0,2252.0,-1.0
380000,-8519.496,1.3174416e-05,None,None,None
382500,-8511.044,1.31744155e-05,-1.0,2268.0,-1.0
385000,-8504.529,1.31744155e-05,-1.0,2785.0,-1.0
387500,-8512.849,1.3174417e-05,-1.0,2108.0,-1.0
390000,-8512.043,1.3174416e-05,-1.0,2427.5,-1.0
392500,-8503.035,1.3174417e-05,-1.0,2132.0,-1.0
395000,-8510.842,1.3174416e-05,-1.0,2148.0,-1.0
397500,-8515.201,1.3174416e-05,-1.0,2152.0,-1.0
400000,-8517.953,1.3174416e-05,-1.0,2131.0,-1.0
402500,-8508.771,1.3174416e-05,-1.0,2132.0,-1.0
405000,-8506.1,1.31744155e-05,None,None,None
407500,-8511.217,1.31744155e-05,-1.0,2417.5,-1.0
410000,-8511.791,1.3174417e-05,-1.0,2478.0,-1.0
412500,-8514.492,1.3174417e-05,None,None,None
415000,-8505.639,1.3174417e-05,-1.0,2528.5,-1.0
417500,-8514.915,1.3174416e-05,-1.0,2871.0,-1.0
420000,-8508.663,1.3174416e-05,-1.0,2141.0,-1.0
422500,-8513.279,1.3174416e-05,-1.0,2904.0,-1.0
425000,-8505.243,1.3174416e-05,None,None,None
427500,-8513.067,1.31744155e-05,None,None,None
430000,-8510.425,1.3174416e-05,-1.0,2393.6666666666665,-1.0
432500,-8510.002,1.31744155e-05,None,None,-1.0
435000,-8511.144,1.3174417e-05,-1.0,2890.0,-1.0
437500,-8518.026,1.3174416e-05,None,None,None
440000,-8505.943,1.3174416e-05,-1.0,2421.0,-1.0
442500,-8513.923,1.31744155e-05,-1.0,3155.0,-1.0
445000,-8516.811,1.3174417e-05,None,None,None
447500,-8509.476,1.3174417e-05,-1.0,2749.6666666666665,-1.0
450000,-8504.107,1.3174416e-05,None,None,-1.0
452500,-8513.041,1.31744155e-05,-1.0,2125.0,-1.0
455000,-8514.653,1.3174417e-05,None,None,None
