Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
1130,2.1965017,0.1696618,-1.0,6.0,-1.0
1140,2.1965346,0.13878155,-1.0,6.0,-1.0
1150,2.1965888,0.09842819,-1.0,6.0,-1.0
1160,2.1965234,0.1422168,-1.0,6.0,-1.0
1170,2.1964135,0.11272493,-1.0,6.0,-1.0
1180,2.1964993,0.103311,-1.0,6.0,-1.0
1190,2.1965091,0.08116411,-1.0,6.0,-1.0
1200,2.196464,0.10116639,-1.0,6.0,-1.0
1210,2.1964447,0.105880804,-1.0,6.0,-1.0
1220,2.196456,0.08482333,-1.0,6.0,-1.0
1230,2.1965501,0.053340103,-1.0,6.0,-1.0
1240,2.1965303,0.12840046,-1.0,6.0,-1.0
1250,2.1965227,0.17981076,-1.0,6.0,-1.0
1260,2.1965044,0.12540345,-1.0,6.0,-1.0
1270,2.1965349,0.06873745,-1.0,6.0,-1.0
1280,2.1964836,0.056771655,-1.0,6.0,-1.0
1290,2.1964958,0.16559532,-1.0,6.0,-1.0
1300,2.196526,0.14212942,-1.0,6.0,-1.0
1310,2.1965117,0.08015471,-1.0,6.0,-1.0
1320,2.1964972,0.11017228,-1.0,6.0,-1.0
1330,2.1964357,0.09629571,-1.0,6.0,-1.0
1340,2.1965146,0.110694714,-1.0,6.0,-1.0
1350,2.196509,0.08171711,-1.0,6.0,-1.0
1360,2.1964912,0.11626712,-1.0,6.0,-1.0
1370,2.1964958,0.16899742,-1.0,6.0,-1.0
1380,2.1964993,0.12736852,-1.0,6.0,-1.0
1390,2.1965597,0.080809504,-1.0,6.0,-1.0
1400,2.196504,0.11643386,-1.0,6.0,-1.0
1410,2.1964865,0.16122507,-1.0,6.0,-1.0
1420,2.196522,0.122237474,-1.0,6.0,-1.0
1430,2.196575,0.10179318,-1.0,6.0,-1.0
1440,2.1964936,0.11976732,-1.0,6.0,-1.0
1450,2.1964948,0.16147268,-1.0,6.0,-1.0
1460,2.1964612,0.12098726,-1.0,6.0,-1.0
1470,2.196531,-0.03254168,-1.0,6.0,-1.0
1480,2.1963863,0.1074402,-1.0,6.0,-1.0
1490,2.1964982,0.09109167,-1.0,6.0,-1.0
1500,2.1965425,0.13097212,-1.0,6.0,-1.0
1510,2.196512,0.084508486,-1.0,6.0,-1.0
1520,2.196451,0.10663672,-1.0,6.0,-1.0
1530,2.1964827,0.12490877,-1.0,6.0,-1.0
1540,2.1965282,0.12649578,-1.0,6.0,-1.0
