Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
76500,1.4203296,-1.0,332.0,-0.82956564,-1.0
77250,1.4203298,-1.0,332.5,-0.8293036,-1.0
78000,1.4203295,-1.0,332.5,-0.82924175,-1.0
78750,1.4203296,-1.0,332.3333333333333,-0.8293703,-1.0
79500,1.4203296,-1.0,332.0,-0.82956564,-1.0
80250,1.4203298,-1.0,332.5,-0.8293036,-1.0
81000,1.4203295,-1.0,332.5,-0.82924175,-1.0
81750,1.4202832,-1.0,332.3333333333333,-0.8327813,-1.0
82500,1.4202676,-1.0,332.0,-0.8390852,-1.0
83250,1.4202601,-1.0,332.5,-0.8395157,-1.0
84000,1.42026,-1.0,332.5,-0.83959,-1.0
84750,1.42026,-1.0,332.3333333333333,-0.8396662,-1.0
85500,1.4202597,-1.0,332.0,-0.839893,-1.0
86250,1.4202601,-1.0,332.5,-0.8395157,-1.0
87000,1.42026,-1.0,332.5,-0.83959,-1.0
87750,1.4202615,-1.0,332.3333333333333,-0.8396662,-1.0
88500,1.4202597,-1.0,332.0,-0.8399101,-1.0
89250,1.4202601,-1.0,332.5,-0.8395157,-1.0
90000,1.42026,-1.0,332.5,-0.83959,-1.0
90750,1.42026,-1.0,332.3333333333333,-0.8396662,-1.0
91500,1.4202597,-1.0,332.0,-0.839893,-1.0
92250,1.4202603,-1.0,332.5,-0.83952165,-1.0
93000,1.42026,-1.0,332.5,-0.83959,-1.0
93750,1.42026,-1.0,332.3333333333333,-0.8396662,-1.0
94500,1.4202597,-1.0,332.0,-0.839893,-1.0
95250,1.4202601,-1.0,332.5,-0.8395157,-1.0
96000,1.42026,-1.0,332.5,-0.8395885,-1.0
96750,1.42026,-1.0,332.3333333333333,-0.8396662,-1.0
97500,1.4202597,-1.0,332.0,-0.839893,-1.0
98250,1.4202601,-1.0,332.5,-0.8395157,-1.0
99000,1.42026,-1.0,332.5,-0.83959,-1.0
99750,1.42026,-1.0,332.3333333333333,-0.8396662,-1.0
100500,1.4202597,-1.0,332.0,-0.8398883,-1.0
101250,1.4202601,-1.0,332.5,-0.8395157,-1.0
102000,1.4205744,-1.0,332.5,-0.83958924,-1.0
102750,1.4208939,-1.0,332.3333333333333,-0.85238785,-1.0
103500,1.4208869,-1.0,332.0,-0.84961224,-1.0
104250,1.4208874,-1.0,332.5,-0.85221934,-1.0
105000,1.4208874,-1.0,332.5,-0.8522985,-1.0
105750,1.4208872,-1.0,332.3333333333333,-0.85238785,-1.0
106500,1.420887,-1.0,332.0,-0.85264564,-1.0
107250,1.4208874,-1.0,332.5,-0.85221934,-1.0
108000,1.4208874,-1.0,332.5,-0.8522985,-1.0
108750,1.4208876,-1.0,332.3333333333333,-0.8524098,-1.0
109500,1.420887,-1.0,332.0,-0.85264564,-1.0
110250,1.4208965,-1.0,332.5,-0.8495157,-1.0
111000,1.4208874,-1.0,332.5,-0.8522985,-1.0
111750,1.4208872,-1.0,332.3333333333333,-0.85238785,-1.0
112500,1.420887,-1.0,332.0,-0.85264564,-1.0
113250,1.4208874,-1.0,332.5,-0.85221934,-1.0
114000,1.4208874,-1.0,332.5,-0.8522985,-1.0
114750,1.4208872,-1.0,332.3333333333333,-0.85238785,-1.0
115500,1.4208877,-1.0,332.0,-0.85264564,-1.0
116250,1.4208877,-1.0,332.5,-0.85222894,-1.0
117000,1.4208874,-1.0,332.5,-0.8522985,-1.0
117750,1.4208939,-1.0,332.3333333333333,-0.85238785,-1.0
118500,1.4208872,-1.0,332.0,-0.84961224,-1.0
119250,1.4208874,-1.0,332.5,-0.85222685,-1.0
120000,1.4208874,-1.0,332.5,-0.8522985,-1.0
120750,1.4208875,-1.0,332.3333333333333,-0.8525258,-1.0
121500,1.420887,-1.0,332.0,-0.85264564,-1.0
122250,1.4207946,-1.0,332.5,-0.85221934,-1.0
123000,1.4207015,-1.0,332.5,-0.88037837,-1.0
123750,1.4207011,-1.0,332.3333333333333,-0.88046914,-1.0
124500,1.4207011,-1.0,332.0,-0.8807428,-1.0
125250,1.4207014,-1.0,332.5,-0.8802667,-1.0
126000,1.4207011,-1.0,332.5,-0.88037837,-1.0
126750,1.4207011,-1.0,332.3333333333333,-0.88046265,-1.0
127500,1.4207011,-1.0,332.0,-0.8807428,-1.0
128250,1.4207014,-1.0,332.5,-0.8802667,-1.0
129000,1.4207011,-1.0,332.5,-0.88037837,-1.0
129750,1.4207011,-1.0,332.3333333333333,-0.88046265,-1.0
130500,1.4207011,-1.0,332.0,-0.8807428,-1.0
131250,1.4207014,-1.0,332.5,-0.8802667,-1.0
132000,1.4207015,-1.0,332.5,-0.8803946,-1.0
132750,1.4207011,-1.0,332.3333333333333,-0.88046265,-1.0
133500,1.4207011,-1.0,332.0,-0.8807428,-1.0
134250,1.4207256,-1.0,332.5,-0.8802667,-1.0
135000,1.4207011,-1.0,332.5,-0.8759381,-1.0
135750,1.4207011,-1.0,332.3333333333333,-0.88046265,-1.0
136500,1.4207011,-1.0,332.0,-0.8807428,-1.0
137250,1.4207014,-1.0,332.5,-0.8802668,-1.0
138000,1.4207011,-1.0,332.5,-0.88037837,-1.0
138750,1.4207011,-1.0,332.3333333333333,-0.88046265,-1.0
139500,1.4207011,-1.0,332.0,-0.8807428,-1.0
140250,1.4207014,-1.0,332.5,-0.8802667,-1.0
141000,1.4207011,-1.0,332.5,-0.88037837,-1.0
141750,1.4207011,-1.0,332.3333333333333,-0.88046265,-1.0
142500,1.4205564,-1.0,332.0,-0.8807428,-1.0
143250,1.4204118,-1.0,332.5,-0.9177573,-1.0
144000,1.4204117,-1.0,332.5,-0.91790485,-1.0
144750,1.4204116,-1.0,332.3333333333333,-0.91797805,-1.0
145500,1.4204116,-1.0,332.0,-0.9182868,-1.0
146250,1.4204118,-1.0,332.5,-0.9177573,-1.0
147000,1.4204195,-1.0,332.5,-0.91812474,-1.0
147750,1.4204116,-1.0,332.3333333333333,-0.9179964,-1.0
148500,1.4204116,-1.0,332.0,-0.918272,-1.0
149250,1.4204118,-1.0,332.5,-0.9177573,-1.0
150000,1.4204117,-1.0,332.5,-0.91790485,-1.0
150750,1.4204116,-1.0,332.3333333333333,-0.91797805,-1.0
151500,1.4204116,-1.0,332.0,-0.918272,-1.0
152250,1.4204118,-1.0,332.5,-0.9177573,-1.0
153000,1.4204117,-1.0,332.5,-0.91790485,-1.0
153750,1.4204116,-1.0,332.3333333333333,-0.91797805,-1.0
154500,1.4204116,-1.0,332.0,-0.918272,-1.0
155250,1.4204118,-1.0,332.5,-0.9177573,-1.0
156000,1.4204117,-1.0,332.5,-0.91790485,-1.0
156750,1.4204116,-1.0,332.3333333333333,-0.91797805,-1.0
157500,1.4204116,-1.0,332.0,-0.918272,-1.0
158250,1.4204189,-1.0,332.5,-0.9177573,-1.0
159000,1.4204116,-1.0,332.5,-0.9175898,-1.0
159750,1.4204116,-1.0,332.3333333333333,-0.91797805,-1.0
160500,1.4204116,-1.0,332.0,-0.918272,-1.0
161250,1.4204118,-1.0,332.5,-0.9177573,-1.0
162000,1.4204117,-1.0,332.5,-0.91790485,-1.0
162750,1.4204861,-1.0,332.3333333333333,-0.91797805,-1.0
163500,1.4206393,-1.0,332.0,-0.94859004,-1.0
164250,1.4206351,-1.0,332.5,-0.9477192,-1.0
165000,1.420635,-1.0,332.5,-0.9479468,-1.0
165750,1.4206351,-1.0,332.3333333333333,-0.94796675,-1.0
166500,1.4206351,-1.0,332.0,-0.948234,-1.0
167250,1.4206351,-1.0,332.5,-0.9477192,-1.0
168000,1.420635,-1.0,332.5,-0.9479468,-1.0
168750,1.4206351,-1.0,332.3333333333333,-0.94796675,-1.0
169500,1.4206553,-1.0,332.0,-0.9475584,-1.0
170250,1.4206351,-1.0,332.5,-0.9477192,-1.0
171000,1.420635,-1.0,332.5,-0.9479468,-1.0
171750,1.4206352,-1.0,332.3333333333333,-0.94796675,-1.0
172500,1.4206351,-1.0,332.0,-0.9482975,-1.0
173250,1.4206374,-1.0,332.5,-0.9477192,-1.0
174000,1.420635,-1.0,332.5,-0.9484383,-1.0
174750,1.4206352,-1.0,332.3333333333333,-0.9479742,-1.0
175500,1.4206351,-1.0,332.0,-0.948234,-1.0
176250,1.4206351,-1.0,332.5,-0.9477192,-1.0
177000,1.420635,-1.0,332.5,-0.9479468,-1.0
177750,1.4206351,-1.0,332.3333333333333,-0.94796675,-1.0
178500,1.4206351,-1.0,332.0,-0.948234,-1.0
179250,1.4206351,-1.0,332.5,-0.9477192,-1.0
180000,1.420635,-1.0,332.5,-0.9479468,-1.0
180750,1.4206351,-1.0,332.3333333333333,-0.94796675,-1.0
181500,1.4206351,-1.0,332.0,-0.948234,-1.0
182250,1.4206351,-1.0,332.5,-0.9477192,-1.0
183000,1.420635,-1.0,332.5,-0.9479468,-1.0
183750,1.4200925,-1.0,332.3333333333333,-0.9716988,-1.0
184500,1.4200926,-1.0,332.0,-0.98382676,-1.0
185250,1.4200925,-1.0,332.5,-0.98327076,-1.0
186000,1.4200925,-1.0,332.5,-0.98354506,-1.0
186750,1.4200925,-1.0,332.3333333333333,-0.9835475,-1.0
187500,1.4200926,-1.0,332.0,-0.98382676,-1.0
188250,1.4200925,-1.0,332.5,-0.98327076,-1.0
189000,1.4200925,-1.0,332.5,-0.98354506,-1.0
189750,1.4200925,-1.0,332.3333333333333,-0.9835475,-1.0
190500,1.4200926,-1.0,332.0,-0.98382676,-1.0
191250,1.4200925,-1.0,332.5,-0.98327076,-1.0
